parameter file: TGEN_cleaned6.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bed
snpname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bim
indivname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.fam
evecoutname: TGEN_cleaned6_PCA.evec
evaloutname: TGEN_cleaned6_PCA.eval
altnormstyle: NO
numoutevec: 10
numoutlieriter: 0
## smartpca version: 16000
norm used

genetic distance set from physical distance
genotype file processed
number of samples used: 1237 number of snps used: 52572
Using 27 threads, and partial sum lookup algorithm.
total number of snps killed in pass: 0  used: 52572

## Tracy-Widom statistics: rows: 1237  cols: 52572
  #N    eigenvalue  difference    twstat      p-value effect. n
   1      4.161637          NA  1189.464            0 29490.285
   2      2.728812   -1.432825   663.613            0 36288.654
   3      2.333262   -0.395549   495.755            0 38915.617
   4      1.860395   -0.472867   261.737            0 40638.474
   5      1.522403   -0.337992    84.119 1.96209e-225 41351.002
   6      1.464733   -0.057670    54.052 4.56882e-117 41567.631
   7      1.448039   -0.016694    45.883   5.6026e-92 41724.981
   8      1.412411   -0.035628    27.271  3.60049e-43 41867.800
   9      1.397828   -0.014583    19.975  9.47828e-28 41978.322
  10      1.390318   -0.007510    16.485  2.93211e-21 42077.055
  11      1.377627   -0.012690    10.118  3.79844e-11 42170.416
  12      1.365140   -0.012487     3.809  0.000331802 42253.904
  13      1.360509   -0.004631     1.773    0.0151291 42327.853
  14      1.356926   -0.003583     0.299     0.119972 42398.901
  15      1.354623   -0.002303    -0.480     0.271375 42467.903
  16      1.351803   -0.002820    -1.551     0.590098 42535.905
  17      1.347708   -0.004095    -3.336     0.963263 42602.465
  18      1.347097   -0.000611    -3.204     0.952258 42666.520
  19      1.346428   -0.000668    -3.104     0.942289 42730.921
  20      1.344047   -0.002381    -3.954     0.991438 42795.623
  21      1.343210   -0.000837    -3.953     0.991401 42859.205
  22      1.340467   -0.002744    -5.012     0.999735 42922.937
  23      1.338119   -0.002348    -5.859     0.999994 42985.230
  24      1.336995   -0.001124    -6.030     0.999998 43046.401
  25      1.333939   -0.003056    -7.281            1 43107.454
  26      1.332694   -0.001245    -7.529            1 43166.780
  27      1.330302   -0.002392    -8.421            1 43225.867
  28      1.329404   -0.000897    -8.482            1 43283.756
  29      1.328711   -0.000694    -8.430            1 43341.679
  30      1.327220   -0.001491    -8.825            1 43399.802
  31      1.326906   -0.000314    -8.562            1 43457.461
  32      1.325854   -0.001052    -8.712            1 43515.635
  33      1.323565   -0.002288    -9.560            1 43573.707
  34      1.322614   -0.000951    -9.660            1 43630.632
  35      1.321522   -0.001093    -9.842            1 43687.526
  36      1.320027   -0.001495   -10.251            1 43744.266
  37      1.317896   -0.002131   -11.024            1 43800.510
  38      1.317169   -0.000727   -11.007            1 43855.711
  39      1.316654   -0.000515   -10.871            1 43911.048
  40      1.316082   -0.000572   -10.767            1 43966.703
  41      1.314373   -0.001709   -11.307            1 44022.629
  42      1.312900   -0.001473   -11.717            1 44077.852
  43      1.311858   -0.001042   -11.885            1 44132.568
  44      1.311282   -0.000576   -11.789            1 44187.139
  45      1.309494   -0.001789   -12.384            1 44241.964
  46      1.308810   -0.000684   -12.353            1 44295.997
  47      1.307490   -0.001320   -12.685            1 44350.184
  48      1.306977   -0.000513   -12.559            1 44403.974
  49      1.305117   -0.001860   -13.202            1 44458.061
  50      1.303558   -0.001559   -13.677            1 44511.274
  51      1.302860   -0.000698   -13.663            1 44563.867
  52      1.301908   -0.000951   -13.794            1 44616.583
  53      1.300836   -0.001072   -13.996            1 44669.199
  54      1.299903   -0.000933   -14.119            1 44721.608
  55      1.298616   -0.001287   -14.447            1 44773.928
  56      1.297543   -0.001073   -14.654            1 44825.845
  57      1.296884   -0.000659   -14.624            1 44877.542
  58      1.295974   -0.000910   -14.739            1 44929.383
  59      1.294786   -0.001188   -15.016            1 44981.143
  60      1.294155   -0.000631   -14.972            1 45032.574
  61      1.293483   -0.000673   -14.953            1 45084.169
  62      1.292435   -0.001047   -15.151            1 45135.888
  63      1.291696   -0.000739   -15.172            1 45187.398
  64      1.290919   -0.000777   -15.215            1 45238.971
  65      1.290472   -0.000446   -15.068            1 45290.572
  66      1.288760   -0.001712   -15.654            1 45342.500
  67      1.288231   -0.000530   -15.557            1 45393.609
  68      1.286647   -0.001584   -16.073            1 45444.963
  69      1.285324   -0.001323   -16.440            1 45495.604
  70      1.284488   -0.000836   -16.526            1 45545.762
  71      1.283358   -0.001130   -16.785            1 45595.876
  72      1.282610   -0.000749   -16.823            1 45645.674
  73      1.281788   -0.000821   -16.904            1 45695.501
  74      1.281106   -0.000682   -16.904            1 45745.290
  75      1.280223   -0.000883   -17.022            1 45795.167
  76      1.278319   -0.001904   -17.739            1 45844.946
  77      1.277984   -0.000335   -17.541            1 45893.682
  78      1.277440   -0.000544   -17.465            1 45942.814
  79      1.277126   -0.000314   -17.254            1 45992.154
  80      1.276656   -0.000470   -17.133            1 46041.916
  81      1.276086   -0.000570   -17.071            1 46091.959
  82      1.274864   -0.001222   -17.391            1 46142.191
  83      1.273770   -0.001094   -17.640            1 46191.997
  84      1.272615   -0.001155   -17.925            1 46241.494
  85      1.271555   -0.001060   -18.157            1 46290.618
  86      1.271033   -0.000522   -18.072            1 46339.457
  87      1.270188   -0.000845   -18.179            1 46388.515
  88      1.269113   -0.001075   -18.422            1 46437.486
  89      1.267492   -0.001621   -18.990            1 46486.150
  90      1.266987   -0.000506   -18.901            1 46533.980
  91      1.266643   -0.000343   -18.715            1 46582.034
  92      1.266227   -0.000416   -18.572            1 46630.470
  93      1.264794   -0.001433   -19.032            1 46679.220
  94      1.264507   -0.000287   -18.815            1 46727.305
  95      1.264124   -0.000383   -18.653            1 46775.825
  96      1.263134   -0.000990   -18.852            1 46824.693
  97      1.262128   -0.001006   -19.062            1 46873.318
  98      1.261669   -0.000459   -18.947            1 46921.681
  99      1.261160   -0.000509   -18.861            1 46970.315
 100      1.260185   -0.000976   -19.054            1 47019.172
 101      1.259274   -0.000911   -19.210            1 47067.793
 102      1.258305   -0.000969   -19.401            1 47116.239
 103      1.258189   -0.000116   -19.084            1 47164.449
 104      1.256625   -0.001564   -19.632            1 47213.267
 105      1.255302   -0.001323   -20.039            1 47261.255
 106      1.254606   -0.000696   -20.073            1 47308.645
 107      1.253687   -0.000919   -20.241            1 47356.057
 108      1.251960   -0.001727   -20.895            1 47403.267
 109      1.251858   -0.000102   -20.577            1 47449.462
 110      1.250419   -0.001439   -21.062            1 47496.261
 111      1.250105   -0.000313   -20.872            1 47542.326
 112      1.249375   -0.000730   -20.932            1 47588.780
 113      1.249131   -0.000244   -20.700            1 47635.208
 114      1.248607   -0.000524   -20.635            1 47682.099
 115      1.247941   -0.000666   -20.657            1 47729.175
 116      1.247434   -0.000507   -20.582            1 47776.291
 117      1.247148   -0.000286   -20.374            1 47823.608
 118      1.246402   -0.000746   -20.443            1 47871.357
 119      1.244790   -0.001612   -21.037            1 47919.065
 120      1.244196   -0.000595   -21.018            1 47965.837
 121      1.242447   -0.001748   -21.700            1 48012.715
 122      1.241187   -0.001260   -22.089            1 48058.504
 123      1.240566   -0.000621   -22.092            1 48103.701
 124      1.239811   -0.000755   -22.177            1 48148.961
 125      1.239355   -0.000456   -22.081            1 48194.144
 126      1.238721   -0.000634   -22.093            1 48239.560
 127      1.238419   -0.000302   -21.903            1 48285.024
 128      1.237944   -0.000475   -21.817            1 48330.886
